text,value
Η,O
τεράστια,O
τρύπα,O
στο,O
στρώμα,O
του,O
όζοντος,O
πάνω,O
από,O
την,O
Ανταρκτική,B-LOC
φαίνεται,O
να,O
θεραπεύεται,O
",",O
υποστηρίζουν,O
οι,O
επιστήμονες,O
",",O
θέτοντας,O
τον,O
κόσμο,O
σε,O
καλό,O
δρόμο,O
για,O
να,O
επουλώσει,O
τελικά,O
ένα,B-CARDINAL
από,O
τα,O
μεγαλύτερα,O
περιβαλλοντικά,O
προβλήματα,O
της,O
δεκαετίας,B-DATE
του,I-DATE
'80,I-DATE
και,I-DATE
του,I-DATE
'90,I-DATE
.,O
Ευχαριστώ,O
τους,O
οπαδούς,O
της,O
Ρεάλ,B-ORG
αλλά,O
τώρα,O
πρέπει,O
να,O
αφοσιωθώ,O
στη,O
νέα,O
ομάδα,O
μου,O
",",O
σε,O
αυτό,O
το,O
νέο,O
σταθμό,O
της,O
ζωής,O
μου,O
.,O
Το,O
ανήσυχο,O
πνεύμα,O
και,O
η,O
τάση,O
για,O
πειραματισμούς,O
οδήγησαν,O
σε,O
σημαντικές,O
ανακαλύψεις,O
και,O
τη,O
βράβευσή,O
του,O
το,O
1909,B-DATE
με,O
Νόμπελ,B-WORK_OF_ART
Φυσικής,I-WORK_OF_ART
για,O
τη,O
συμβολή,O
του,O
στην,O
ανάπτυξη,O
της,O
ασύρματης,O
τηλεγραφίας,O
.,O
Με,O
τη,O
βοήθεια,O
του,O
Μασκ,B-PERSON
Μιλώντας,O
για,O
την,O
πρόσφατη,O
συμφωνία,O
με,O
την,O
πΓΔΜ,B-GPE
",",O
ο,O
κοινοβουλευτικός,O
εκπρόσωπος,O
της,O
ΝΔ,B-ORG
υποστηρίζει,O
ότι,O
«,O
η,O
ίδια,O
η,O
συμφωνία,O
",",O
εκ,O
των,O
πραγμάτων,O
",",O
τελεί,O
υπό,O
το,O
καθεστώς,O
της,O
αίρεσης,O
για,O
σημαντικό,O
χρονικό,O
διάστημα,O
",",O
ενώ,O
η,O
εφαρμογή,O
της,O
στην,O
πράξη,O
εξαρτάται,O
",",O
ουσιαστικά,O
",",O
από,O
τη,O
γειτονική,O
χώρα,O
και,O
τις,O
εκεί,O
πολιτικές,O
εξελίξεις,O
»,O
",",O
ενώ,O
αναφερόμενος,O
στα,O
εσωτερικά,O
της,O
Ελλάδας,B-GPE
εκτιμά,O
ότι,O
«,O
εκλογές,O
μπορούν,O
να,O
γίνουν,O
ανά,O
πάσα,O
στιγμή,O
και,O
με,O
οποιοδήποτε,O
πρόσχημα,O
λόγω,O
των,O
αδιεξόδων,O
που,O
η,O
κυβέρνηση,O
έχει,O
δημιουργήσει,O
σε,O
όλους,O
τους,O
τομείς,O
»,O
.,O
Καθόλου,O
τυχαία,O
",",O
την,O
ίδια,O
μέρα,O
του,O
επόμενου,O
μήνα,O
αναμένεται,O
η,O
Microsoft,B-ORG
να,O
κυκλοφορήσει,O
στην,O
αγορά,O
τις,O
νέες,O
συσκευές,O
μικτής,O
πραγματικότητας,O
"	O
Windows	B-PRODUCT
Mixed	I-PRODUCT
Reality	I-PRODUCT
",O
",",O
οι,O
οποίες,O
θα,O
προσαρμόζονται,O
στο,O
κεφάλι,O
του,O
χρήστη,O
και,O
θα,O
λειτουργούν,O
με,O
το,O
αναβαθμισμένο,O
λειτουργικό,O
σύστημα,O
.,O
Ο,O
επικεφαλής,O
του,O
Κινήματος,B-ORG
Δημοκρατών,I-ORG
Σοσιαλιστών,I-ORG
",",O
